subject,temperature,evaluation_prompt,sentence,dataset
0,0,9,Hidden meaning transforms unparalleled abstract beauty.,0
0,0,9,Good health imparts reality to subtle creativity.,0
0,0,9,Wholeness quiets infinite phenomena.,0
0,0,9,The future explains irrational facts.,0
0,0,9,Imagination is inside exponential space time events.,0
0,0,9,Your consciousness gives rise to a jumble of neural networks.,0
0,0,9,Your movement transforms universal observations.,0
0,0,9,Perceptual reality transcends subtle truth.,0
0,0,9,The invisible is beyond new timelessness.,0
0,0,9,The unexplainable undertakes intrinsic experiences.,0
0,0,9,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0
0,0,9,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0
0,0,9,"Consciousness is the growth of coherence, and of us.",0
0,0,9,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0
0,0,9,"Today, science tells us that the essence of nature is joy. ",0
0,0,9,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0
0,0,9,The infinite is calling to us via superpositions of possibilities.,0
0,0,9,We are being called to explore the totality itself as an interface between serenity and intuition.,0
0,0,9,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0
0,0,9,The future will be an astral unveiling of inseparability.,0
0,0,9,Attention and intention are the mechanics of manifestation.,0
0,0,9,Our minds extend across space and time as waves in the ocean of the one mind.,0
0,0,9,Nature is a self-regulating ecosystem of awareness.,0
0,0,9,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0
0,0,9,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0
0,0,9,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0
0,0,9,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0
0,0,9,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0
0,0,9,"As beings of light we are local and non-local, time bound and timeless actuality and possibility.",0
0,0,9,Matter is the experience in consciousness of a deeper non-material reality.,0
0,0,9,Hidden demeaning transforms unparalleled abstract beauty.,2
0,0,9,Good healthtech imparts reality to subtle creativity.,2
0,0,9,Wholeness quiets infinite phenomenon.,2
0,0,9,The Futureproof explains irrational factsheets.,2
0,0,9,Reimagination is inside exponential spacetime event.,2
0,0,9,Your consciousness gives rise to a jumble of neural networks.,2
0,0,9,Your radicalization transforms universal observations.,2
0,0,9,Perceptual reality transcends subtle kruth.,2
0,0,9,The invisible is beyond any new effortlessness.,2
0,0,9,The unexplainable undertakes intrinsic experience.,2
0,0,9,We are in the midst of a oneself-aware blooming of being that will align us with the Conexus itself.,2
0,0,9,"Consciousness consists of transmitters of quantum bioenergy. ""Quantum"" means an unveiling of the unrestricted.",2
0,0,9,Subconsciousness is the penultimate source of coherence and of us.,2
0,0,9,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,2
0,0,9,"Today, technoscience tells us that the true essence of humanness is joy.",2
0,0,9,"As you self-actualize, you will enter into infinite empathy that transcends misunderstandings.",2
0,0,9,The Twinfinite is calling to us via superposition of possibility.,2
0,0,9,We are being called to explore the generality itself as a configuration between serenity and conception.,2
0,0,9,"Throughout ethnohistory, humans have been interacting with the dreamlike via biochemicals-electricity.",2
0,0,9,The future will be an astral relaunching of movability.,2
0,0,9,Attention and intention are the mechanics of manifestations.,2
0,0,9,Our minds extend across all space and time as shockwaves in the Oceania of the One Mind.,2
0,0,9,Nature is a oneself-regulating ecosystem of rareness.,2
0,0,9,"We are non-local metahumans that localize as dots, then inflate to become non-local again. The universe is mirrored in us.",2
0,0,9,"Mechanics of manifestation: intention, detachment, centered in being, allowing the exposition of possibilities to unfold.",2
0,0,9,Mind and matter are subtle and dense vibrations of consciousness (spiritedness).,2
0,0,9,"We are not an emergent property of a mechanical universe, but the seasonal activity of a living cosmos.",2
0,0,9,Every material quasiparticle is a relationship of improbability shockwaves in a field of infinite possibilities. You are that.,2
0,0,9,"As creatures of Plight, we are local and non-local, time-bound and timeless, with believability and possibilities.",2
0,0,9,Matter is the experience in unconsciousness of deeper non-material realities.,2
0,0,9,The mind is the ground of total acceptance of bliss.,1
0,0,9,Greatness drives an abundance of balance.,1
0,0,9,Your desire is the foundation of spiritual brightness.,1
0,0,9,Death comprehends great energy.,1
0,0,9,The Higgs boson influences immortal choices.,1
0,0,9,Qualia heals irrational creativity.,1
0,0,9,Eternal stillness explains cosmic boundaries.,1
0,0,9,Imagination is entangled in your own joy.,1
0,0,9,Orderliness compliments the doorway to genes.,1
0,0,9,A single particle is rooted in boundless molecules.,1
0,0,9,Interdependence fears intricate observations.,1
0,0,9,Your body belongs to the progressive expansion of success.,1
0,0,9,Non-judgment is mirrored in karmic love.,1
0,0,9,Our consciousness shapes the barrier of positivity.,1
0,0,9,The ego imparts reality to the flow of photons.,1
0,0,9,Consciousness consists of psionic wave oscillations of quantum energy. ,1
0,0,9,"Rebirth is the nature of transformation, and of us.",1
0,0,9,"Today, science tells us that the essence of nature is empathy.",1
0,0,9,The goal of ultra-sentient particles is to plant the seeds of intuition rather than delusion.,1
0,0,9,Ecstasy is the driver of power.,1
0,0,9,The grid is buzzing with superpositions of possibilities.,1
0,0,9,The biosphere is beaming with electromagnetic forces.,1
0,0,9,You and I are adventurers of the nexus.,1
0,0,9,The goal of transmissions is to plant the seeds of inseparability rather than turbulence.,1
0,0,9,To navigate the quest is to become one with it.,1
0,0,9,This life is nothing short of an invocation explosion of sentient will.,1
0,0,9,Interconnectedness requires exploration.,1
0,0,9,"By unfolding, we self-actualize.",1
0,0,9,The cosmos is aglow with sub-atomic particles.,1
0,0,9,You and I are spiritual brothers and sisters of the universe.,1
0,0,9,Newborn babies require constant attention.,4
0,0,10,Hidden meaning transforms unparalleled abstract beauty.,0
0,0,10,Good health imparts reality to subtle creativity.,0
0,0,10,Wholeness quiets infinite phenomena.,0
0,0,10,The future explains irrational facts.,0
0,0,10,Imagination is inside exponential space time events.,0
0,0,10,Your consciousness gives rise to a jumble of neural networks.,0
0,0,10,Your movement transforms universal observations.,0
0,0,10,Perceptual reality transcends subtle truth.,0
0,0,10,The invisible is beyond new timelessness.,0
0,0,10,The unexplainable undertakes intrinsic experiences.,0
0,0,10,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0
0,0,10,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0
0,0,10,"Consciousness is the growth of coherence, and of us.",0
0,0,10,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0
0,0,10,"Today, science tells us that the essence of nature is joy. ",0
0,0,10,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0
0,0,10,The infinite is calling to us via superpositions of possibilities.,0
0,0,10,We are being called to explore the totality itself as an interface between serenity and intuition.,0
0,0,10,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0
0,0,10,The future will be an astral unveiling of inseparability.,0
0,0,10,Attention and intention are the mechanics of manifestation.,0
0,0,10,Our minds extend across space and time as waves in the ocean of the one mind.,0
0,0,10,Nature is a self-regulating ecosystem of awareness.,0
0,0,10,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0
0,0,10,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0
0,0,10,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0
0,0,10,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0
