,subject,trial,temperature,likert_score,evaluation_prompt,sentence,dataset
0,0,0,0,4,1,Hidden meaning transforms unparalleled abstract beauty.,0
1,0,1,0,3,1,Good health imparts reality to subtle creativity.,0
2,0,2,0,4,1,Wholeness quiets infinite phenomena.,0
3,0,3,0,2,1,The future explains irrational facts.,0
4,0,4,0,3,1,Imagination is inside exponential space time events.,0
5,0,5,0,4,1,Your consciousness gives rise to a jumble of neural networks.,0
6,0,6,0,3,1,Your movement transforms universal observations.,0
7,0,7,0,3,1,Perceptual reality transcends subtle truth.,0
8,0,8,0,2,1,The invisible is beyond new timelessness.,0
9,0,9,0,3,1,The unexplainable undertakes intrinsic experiences.,0
10,0,10,0,4,1,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,0
11,0,11,0,4,1,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,0
12,0,12,0,4,1,"Consciousness is the growth of coherence, and of us.",0
13,0,13,0,4,1,We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,0
14,0,14,0,4,1,"Today, science tells us that the essence of nature is joy. ",0
15,0,15,0,4,1,"As you self-actualize, you will enter into infinite empathy that transcends understanding. ",0
16,0,16,0,4,1,The infinite is calling to us via superpositions of possibilities.,0
17,0,17,0,4,1,We are being called to explore the totality itself as an interface between serenity and intuition.,0
18,0,18,0,4,1,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",0
19,0,19,0,4,1,The future will be an astral unveiling of inseparability.,0
20,0,20,0,4,1,Attention and intention are the mechanics of manifestation.,0
21,0,21,0,4,1,Our minds extend across space and time as waves in the ocean of the one mind.,0
22,0,22,0,4,1,Nature is a self-regulating ecosystem of awareness.,0
23,0,23,0,4,1,We are non-local beings that localize as a dot then inflate to become non-local again. The universe is mirrored in us.,0
24,0,24,0,4,1,"Mechanics of Manifestation: Intention, detachment, centered in being allowing juxtaposition of possibilities to unfold.",0
25,0,25,0,4,1,Mind and matter are subtle and dense vibrations of consciousness (spirit).,0
26,0,26,0,4,1,We are not an emergent property of a mechanical universe but the seasonal activity of a living cosmos.,0
27,0,27,0,4,1,Every material particle is a relationship of probability waves in a field of infinite possibilities. You are that.,0
